Date;Time;Event Name;IP Address;Action;Host;URL;Response Code;Time to Load (ms);Time to First Byte (ms);Start Time (ms);Bytes Out;Bytes In;Object Size;Cookie Size (out);Cookie Count(out);Expires;Cache Control;Content Type;Content Encoding;Transaction Type;Socket ID;Document ID;End Time (ms);Descriptor;Lab ID;Dialer ID;Connection Type;Cached;Event URL;Pagetest Build;Measurement Type;Experimental;Event GUID;Sequence Number;Cache Score;Static CDN Score;GZIP Score;Cookie Score;Keep-Alive Score;DOCTYPE Score;Minify Score;Combine Score;Compression Score;ETag Score;Flagged;Secure;DNS Time;Connect Time;SSL Time;Gzip Total Bytes;Gzip Savings;Minify Total Bytes;Minify Savings;Image Total Bytes;Image Savings;Cache Time (sec);Real Start Time (ms);Full Time to Load (ms);Optimization Checked;CDN Provider;DNS Start;DNS End;;;Connect Start;Connect End;;;SSL Negotiation Start;SSL Negotiation End;;;Initiator;Initiator Line;Initiator Column;Server Count;Server RTT;Run;Cached
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/burda.png;200;1833;1740;2386;35;3939;3884;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4219;;;;;;;;;;;33;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/vitra.png;200;2317;1739;2387;35;3483;3428;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4704;;;;;;;;;;;34;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/ravensburger.png;200;2317;1739;2387;40;2867;2812;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4704;;;;;;;;;;;35;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/uploads/sponsoren/kresse-discher.png;200;2319;2319;2388;41;2362;2330;;;Wed, 24 Aug 2016 15:37:45 GMT;max-age=2592000;image/png;;3;53;;4707;;;;;;;;;;;36;100;0;-1;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;2592000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jquery.min.js;200;2340;2319;2388;28;30006;29902;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4728;;;;;;;;;;;37;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/jssor.slider.mini.js;200;2365;2361;2388;33;18564;18502;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4753;;;;;;;;;;;38;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/slider.js;200;2363;2361;2389;25;531;470;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4752;;;;;;;;;;;39;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/wow.min.js;200;2363;2361;2389;26;2522;2461;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4752;;;;;;;;;;;40;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/http2/transition.min.js;200;2362;2360;2390;34;440;379;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4752;;;;;;;;;;;41;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
07/25/2016;15:37:46;Step 1;141.62.110.42;GET;im-im2.hdm-stuttgart.de;/js/http2/alert.min.js;200;2362;2360;2390;31;590;529;;;Tue, 25 Jul 2017 15:37:45 GMT;max-age=31536000;application/javascript;gzip;3;53;;4752;;;;;;;;;;;42;100;0;100;-1;100;-1;-1;-1;-1;-1;0;1;-1;-1;-1;0;0;0;0;0;0;31536000;;;1;;0;0;0;;0;0;0;;0;0;;;;;;1;312;1;0
